"PVWatts Hourly PV Performance Data"
"Requested Location","94123, USA"
"Location","Lat, Lng: 37.81, -122.42"
"Latitude (DD)","37.81"
"Longitude (DD)","-122.42"
"Elevation (m)","0"
"DC System Size (kW)","1000"
"Module Type","Premium"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"7","17","9","863","110","19","0.7","0.07","783.565","44.542","619647.18","593727.054"
"7","17","10","884","121","20","1","0.07","925.871","47.835","719592.911","690131.311"
"7","17","11","897","125","21","1.4","0.07","1009.208","48.521","780115.452","748509.298"
"7","17","12","898","126","22","1.9","0.07","1025.56","47.074","796748.596","764553.063"
"7","17","13","897","119","22","2.4","0.07","978.115","43.687","771256.317","739964.077"
"7","17","14","874","114","22","2.8","0.07","862.161","39.806","692491.058","663989.784"
"7","17","15","833","106","21","3","0.07","691.57","34.831","568739.723","544623.451"
"7","17","16","768","94","20","3.1","0.07","484.673","29.555","407325.672","388928.941"
"7","17","17","655","76","18","3","0.07","260.262","23.08","201205.412","190112.342"
"7","17","18","427","49","16","2.7","0.07","64.34","17.215","38121.779","32807.41"
"7","17","19","0","0","14","2.6","0.07","0","14","0","0"
"7","17","20","0","0","13","2.6","0.07","0","13","0","0"
"7","17","21","0","0","13","2.5","0.07","0","13","0","0"
"7","17","22","0","0","13","2.4","0.07","0","13","0","0"
"7","17","23","0","0","12","2.3","0.07","0","12","0","0"
"7","18","0","0","0","12","2.2","0.07","0","12","0","0"
"7","18","1","0","0","12","1.9","0.07","0","12","0","0"
"7","18","2","0","0","12","1.7","0.07","0","12","0","0"
"7","18","3","0","0","11","1.5","0.07","0","11","0","0"
"7","18","4","0","0","11","1.4","0.07","0","11","0","0"
"7","18","5","186","25","13","1.2","0.07","19.002","13.483","10527.882","6191.275"
"7","18","6","545","63","15","0.9","0.07","145.984","19.213","98175.36","90733.054"
"7","18","7","691","89","17","0.7","0.07","358.079","28.611","290600.212","276339.528"
"7","18","8","786","103","19","0.7","0.07","578.352","37.899","471078.881","450423.121"
"7","18","9","841","113","21","0.9","0.07","769.255","44.769","607606.002","582112.543"
"7","18","10","884","113","22","1.2","0.07","918.009","48.268","712421.627","683214.134"
"7","18","11","898","117","23","1.7","0.07","1002.493","48.572","774938.236","743515.531"
"7","18","12","901","119","23","2.2","0.07","1021.939","46.529","795776.612","763615.52"
"7","18","13","883","123","23","2.6","0.07","968.97","43.708","763896.358","732864.91"
"7","18","14","862","117","22","2.9","0.07","855.097","39.358","687895.787","659557.342"
"7","18","15","823","109","21","3","0.07","689.427","34.787","566973.01","542919.339"
"7","18","16","758","95","20","3","0.07","480.525","29.633","403626.96","385361.289"
"7","18","17","643","77","19","2.9","0.07","257.552","24.114","198360.227","187367.973"
"7","18","18","413","48","17","2.6","0.07","62.395","18.201","36876.65","31606.401"
"7","18","19","0","0","15","2.6","0.07","0","15","0","0"
"7","18","20","0","0","14","2.8","0.07","0","14","0","0"
"7","18","21","0","0","14","2.9","0.07","0","14","0","0"
"7","18","22","0","0","13","2.9","0.07","0","13","0","0"
"7","18","23","0","0","13","2.9","0.07","0","13","0","0"
